country,name,full_name,isin,currency,symbol
brazil,UNIPAR ON,Unipar Carbocloro SA,BRUNIPACNOR7,BRL,UNIP3
brazil,UNIPAR PNB,Unipar Carbocloro SA,BRUNIPACNPB8,BRL,UNIP6
brazil,USIMINAS ON,Usinas Siderurgicas de Minas Gerais,BRUSIMACNOR3,BRL,USIM3
brazil,USIMINAS PNA,Usinas Siderurgicas de Minas Gerais,BRUSIMACNPA6,BRL,USIM5
brazil,TERRA SANTA ON,Terra Santa Agro SA,BRTESAACNOR9,BRL,TESA3
brazil,VALE ON,Vale SA,BRVALEACNOR0,BRL,VALE3
brazil,VIVER ON,Viver Incorporadora e Construtora,BRVIVRACNOR4,BRL,VIVR3
brazil,TELEF BRASIL ON,Telefonica Brasil SA,BRVIVTACNOR0,BRL,VIVT3
brazil,TELEF BRASIL PN,Telefonica Brasil SA,BRVIVTACNPR7,BRL,VIVT4
brazil,VALID ON,VALID ON NM,BRVLIDACNOR5,BRL,VLID3
brazil,WEG ON,WEG SA,BRWEGEACNOR0,BRL,WEGE3
brazil,BANRISUL PNA,BANRISUL PNA N1,BRBRSRACNPA6,BRL,BRSR5
brazil,CESP PNA,Cia Energetica de Sao Paulo,BRCESPACNPA6,BRL,CESP5
brazil,ELETROPAULO ON,ELETROPAULO ON N2,BRELPLACNOR9,BRL,ELPL3
brazil,SANTANDER BRPN,Banco Santander Brasil SA,BRSANBACNPR5,BRL,SANB4
brazil,Santos Brasil Participacoes,Santos Brasil Participacoes SA,BRSTBPACNOR3,BRL,STBP3
brazil,CCX CARVAO ON,CCX Carvao da Colombia SA,BRCCXCACNOR5,BRL,CCXC3
brazil,CESP ON,Cia Energetica de Sao Paulo,BRCESPACNOR3,BRL,CESP3
brazil,GRAZZIOTIN ON,Grazziotin SA,BRCGRAACNOR2,BRL,CGRA3
brazil,CELESC PN,Celesc SA,BRCLSCACNPR3,BRL,CLSC4
brazil,COELCE ON,Cia Energetica do Ceara,BRCOCEACNOR0,BRL,COCE3
brazil,Taurus Armas ON,Taurus Armas ON,BRTASAACNOR7,BRL,TASA3
brazil,Cogna Educacao,Cogna Educacao,BRCOGNACNOR2,BRL,COGN3
brazil,LOCAMERICA ON NM,Cia de Locacao das Americas,BRLCAMACNOR3,BRL,LCAM3
brazil,RAIADROGASIL ON,Raia Drogasil SA,BRRADLACNOR0,BRL,RADL3
brazil,UNICASA ON,UNICASA Industria de Moveis SA,BRUCASACNOR1,BRL,UCAS3
brazil,Alupar Invest Unit,Alupar Investimento SA Unit,BRALUPCDAM15,BRL,ALUP11
brazil,Anima ON,Anima ON,BRANIMACNOR6,BRL,ANIM3
brazil,BBSEGURIDADE ON NM,BB Seguridade Participacoes SA,BRBBSEACNOR5,BRL,BBSE3
brazil,Biosev ON,Biosev ON,BRBSEVACNOR3,BRL,BSEV3
brazil,CPFL RENOVAVON NM,Cpfl Renovav ON,BRCPREACNOR5,BRL,CPRE3
brazil,CVC BRASIL ON NM,Cvc Brasil ON,BRCVCBACNOR1,BRL,CVCB3
brazil,LINX ON NM,Linx ON,BRLINXACNOR0,BRL,LINX3
brazil,Ser Educa ON,Ser Educa ON,BRSEERACNOR5,BRL,SEER3
brazil,Smiles Fidelidade,Smiles Fidelidade SA,BRSMLSACNOR1,BRL,SMLS3
brazil,Tupy ON,Tupy ON,BRTUPYACNOR1,BRL,TUPY3
brazil,Senior Solution,Senior Solution SA,BRSQIAACNOR6,BRL,SQIA3
brazil,Biomm On,Biomm On,BRBIOMACNOR2,BRL,BIOM3
brazil,KLABIN S/A UNT N2,Klabin Unt,BRKLBNCDAM18,BRL,KLBN11
brazil,Nutriplant,Nutriplant,BRNUTRACNOR0,BRL,NUTR3
brazil,Banco da Amazonia SA ON,Banco da Amazonia SA ON,BRBAZAACNOR0,BRL,BAZA3
brazil,CSHG Brasil Shopping,CSHG Brasil Shopping,BRHGBSCTF000,BRL,HGBS11
brazil,CSHG JHSF Prime Offices,CSHG JHSF Prime Offices,BRHGJHCTF006,BRL,HGPO11
brazil,Mercantil do Brasil,Mercantil do Brasil,BRMBRFCTF004,BRL,MBRF11
brazil,Tecnosolo Engenharia SA ON,Tecnosolo Engenharia SA ON,BRTCNOACNOR5,BRL,TCNO3
brazil,FII ABC IMOB,FII ABC IMOB,BRABCPCTF000,BRL,ABCP11
brazil,Fdo Inv Imob Rio Bravo Renda Educacional,Fdo Inv Imob Rio Bravo Renda Educacional,BRRBEDCTF006,BRL,RBED11
brazil,FII BB PRGII,FII BB PRGII,BRBBPOCTF003,BRL,BBPO11
brazil,FII BB CORP,FII BB CORP,BRBBRCCTF004,BRL,BBRC11
